TransactionID,UserID,CourseID,TransactionDate,Amount,CompletionStatus,Rating
T00001,U0763,C016,2023-12-26,20.25,In Progress,4.2
T00002,U0276,C012,2022-06-06,78.45,In Progress,
T00003,U0050,C035,2023-03-22,164.49,Completed,
T00004,U0358,C021,2022-06-30,126.19,Completed,4.6
T00005,U0728,C017,2024-01-22,158.02,Not Started,3.0
T00006,U0906,C032,2023-06-19,146.61,Not Started,
T00007,U0928,C041,2023-10-29,104.38,Completed,4.7
T00008,U0564,C134,2022-10-04,17.82,In Progress,
T00009,U0783,C027,2023-09-23,121.0,In Progress,4.1
T00010,U0485,C148,2024-04-07,19.22,Completed,
T00011,U0084,C066,2023-07-06,124.7,Completed,3.1
T00012,U0899,C137,2024-03-04,162.07,Completed,4.6
T00013,U0805,C092,2023-05-11,121.14,Completed,3.0
T00014,U0638,C061,2023-04-22,199.42,In Progress,
T00015,U0808,C003,2023-03-23,96.6,Completed,4.9
T00016,U0584,C103,2024-04-25,152.27,Completed,4.3
T00017,U0296,C055,2024-01-19,136.76,In Progress,3.1
T00018,U0236,C001,2023-08-30,198.36,Completed,3.2
T00019,U0056,C101,2022-10-02,145.5,In Progress,2.7
T00020,U0919,C045,2022-11-27,41.16,Completed,
T00021,U0360,C026,2024-05-22,191.54,In Progress,
T00022,U0907,C121,2022-09-09,136.87,Not Started,3.0
T00023,U0110,C142,2024-04-30,21.26,Completed,3.1
T00024,U0192,C046,2022-03-30,134.93,In Progress,2.5
T00025,U0904,C122,2022-10-13,177.78,Completed,4.9
T00026,U0093,C031,2023-04-07,119.63,Not Started,4.6
T00027,U0862,C059,2022-09-07,77.25,Not Started,
T00028,U0568,C029,2024-02-08,165.96,Completed,4.9
T00029,U0060,C106,2023-04-21,158.67,In Progress,4.2
T00030,U0650,C017,2023-08-07,113.38,Completed,4.4
T00031,U0039,C142,2023-09-17,39.32,Not Started,4.2
T00032,U0540,C024,2023-11-16,57.68,Completed,
T00033,U0049,C109,2023-01-24,150.3,Not Started,
T00034,U0420,C091,2022-12-11,163.15,Completed,3.9
T00035,U0637,C025,2022-01-30,63.05,In Progress,4.6
T00036,U0013,C032,2023-05-22,79.91,Not Started,2.5
T00037,U0992,C116,2024-05-21,24.74,Not Started,2.8
T00038,U0036,C082,2022-11-29,145.55,Completed,3.1
T00039,U0101,C110,2022-07-06,10.67,In Progress,3.2
T00040,U0794,C146,2023-05-15,18.83,Completed,3.0
T00041,U0086,C037,2022-08-06,10.82,Completed,4.1
T00042,U0516,C026,2022-12-30,132.6,Completed,3.2
T00043,U0223,C137,2024-03-27,89.29,Completed,2.9
T00044,U0338,C064,2022-09-22,66.52,In Progress,4.8
T00045,U0960,C072,2022-12-15,183.4,Completed,4.2
T00046,U0166,C148,2022-10-14,46.62,In Progress,3.1
T00047,U0383,C106,2023-09-03,83.97,Completed,
T00048,U0856,C086,2023-12-20,188.65,Completed,4.4
T00049,U0895,C053,2022-10-10,91.14,In Progress,4.5
T00050,U0376,C092,2023-07-24,115.38,Completed,2.9
T00051,U0471,C099,2022-01-11,25.25,Completed,
T00052,U0790,C011,2023-06-14,160.12,Completed,4.5
T00053,U0642,C031,2022-07-15,90.31,In Progress,4.6
T00054,U0031,C100,2022-03-29,162.09,In Progress,2.9
T00055,U0375,C087,2022-09-05,58.21,Completed,2.9
T00056,U0011,C147,2024-01-08,90.26,Completed,3.3
T00057,U0988,C140,2023-02-21,159.43,Not Started,2.7
